Model,Best_Parameters,CV_Score
LogisticRegression,"{
  ""C"": 100,
  ""max_iter"": 100,
  ""solver"": ""lbfgs""
}",0.9881205552494595
DecisionTree,"{
  ""criterion"": ""gini"",
  ""max_depth"": null,
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 2
}",0.9780106535735602
SVM,"{
  ""C"": 1,
  ""gamma"": ""scale"",
  ""kernel"": ""linear""
}",0.9885633467228423
KNN,"{
  ""metric"": ""manhattan"",
  ""n_neighbors"": 3,
  ""weights"": ""distance""
}",0.9639008008887728
RandomForest,"{
  ""max_depth"": null,
  ""max_features"": ""sqrt"",
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 10,
  ""n_estimators"": 200
}",0.9872902532633928
MultinomialNB,"{
  ""alpha"": 0.5,
  ""fit_prior"": true
}",0.9874116181849043
XGBoost,"{
  ""learning_rate"": 0.1,
  ""max_depth"": 6,
  ""n_estimators"": 200,
  ""subsample"": 1.0
}",0.9823247101520691
